Tables of exospheric zonal harmonic expansion coefficients from
Hodges, R.R., "Monte Carlo Simulation of the terestrial exosphere"
               J. Geophys. Res., 99, 23229-23247, 1994

_________________________________________________________________________________________________________
Table 2.  Equinox, F10.7 = 80
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 7545   27198  -2747  -981 -2873 -1421   -96   232    61  -115   352  -154   -22   -20   267   -35   110
 7695   24212  -2549  -941 -2741 -1338   -67   175    63  -129   356  -166   -81   -44   260   -52    70
 7861   21563  -2353  -895 -2525 -1252  -129   132    87  -101   193  -197   -31   -68   283   -75    73
 8046   18982  -2107  -804 -2395 -1232  -104    42   107   -47   188  -145   -81  -107   269   -44    78
 8252   16608  -1932  -676 -2199 -1165   -91    35   134   -71   182  -146  -108   -36   230   -38     4
 8481   14417  -1639  -551 -2021  -995  -123    37   169   -77   140   -87   -58    27   227  -123    27
 8736   12450  -1497  -466 -1817  -974   -92   -39   168   -84   118  -184   -57    19   141   -50    15
 9021   10673  -1382  -390 -1660  -943  -148    34   175   -26   209  -114   -69   -77    97    14     6
 9340    9035  -1139  -259 -1551  -940  -123    35   142  -107   122  -105   -96  -114    64    14    -2
 9698    7634  -1115   -69 -1415  -930   -22    -9   128  -189   154  -108    22  -157    73   -21    51
10103    6401   -862  -111 -1355  -855   -45   -44    90  -131   116    28   -65  -154    39   -91   -21
10562    5296   -668   -54 -1173  -933    23   -39   143  -109     7    13   -89   -85    57   -68   -68
11086    4330   -484    10  -973  -762   -75   -66   182   -69  -102   108    16   -23    80   -78     3
11688    3518   -377   -19  -776  -649  -111  -115   127  -111   123   110   -12     3    38   -82    12
12386    2829    -83    13  -620  -640   -58  -199   240   -69    85   -42   -56   -32   -32    67   -27
13202    2231   -192   -86  -489  -637   178  -221   284   -47   146  -101   -38   -12   -17    46    49
14169    1745    -25  -196  -434  -741   261  -118   327   -30   100  -129  -168   -57    -1    60   100
15328    1347    191  -384  -286  -606   236   -98   371   -69    31   -77   -34    -3    84    31    46
16743    1022    264  -417  -169  -527   251  -166   448   -27   -45    51    14   -32    97    54    11
18505     754    425  -597  -143  -507   467   -53   650     8   129    47  -151  -106     0   -21    34
20757     545    421  -717  -228  -817   722   -89   813    93  -105  -104   -67   -98   115    -8   142
23731     381    122  -628  -157  -831  1235  -125  1012    43  -130  -101  -136  -105    57   -23   110
27839     249   -139  -751   109 -1191  1450  -216  1149   154    15  -245  -185   -72   233   -62    12
33877     147   -606 -1246   -52 -1247  1664  -199  1628   141   311  -413  -167  -204    13  -135    31
43629      75  -1234 -1836  -106 -1594  1745  -217  1561   190   270  -230   -38  -187  -312    63   -22
62126      27  -1480 -2867  -165 -1955  2253  -399  1677   -18   523    74   297  -100   138  -100   -96

_________________________________________________________________________________________________________
Table 8.  Equinox, F10.7 = 230
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
_________________________________________________________________________________________________________
 6640   53085      0 -1858 -4185 -1971     0     0  -225   -71     0  -412   168     0     0  -119   226
 6648   51540      0 -1842 -4199 -2006     0     0  -261  -156     0  -379   200     0     0  -130   196
 6663   48515      0 -1689 -4238 -1879     0     0  -240  -200     0  -318   198     0     0  -120   211
 6686   44879      0 -1674 -4165 -1686     0     0  -148  -147     0  -420   263     0     0  -171   231
 6717   41190      0 -1620 -4090 -1466     0     0  -164  -104     0  -403   278     0     0  -138   210
 6756   37538      0 -1528 -4099 -1286     0     0   -85   -57     0  -355   226     0     0  -128   225
 6803   34473      0 -1374 -4072 -1270     0     0   -20   -62     0  -421   205     0     0   -91   192
 6859   31680      0 -1274 -4038 -1256     0     0   -75   -55     0  -459   162     0     0  -137   150
 6925   29173      0 -1255 -3944 -1274     0     0  -102   -93     0  -477    99     0     0   -86   190
 7000   26894      0 -1195 -3873 -1366     0     0   -25  -113     0  -490    55     0     0  -101   185
 7085   24644      0 -1040 -3686 -1429     0     0   -35  -153     0  -435    24     0     0  -146   124
 7182   22528      0  -936 -3598 -1386     0     0    -7  -113     0  -471    14     0     0  -127    99
 7290   20559      0  -977 -3452 -1437     0     0   -14  -119     0  -473    -8     0     0   -80   163
 7410   18689      0  -813 -3302 -1359     0     0     1  -132     0  -466   -33     0     0   -93   169
 7545   16961      0  -828 -3166 -1395     0     0    11   -93     0  -387  -107     0     0  -131   142
 7695   15267      0  -705 -2949 -1403     0     0    10  -108     0  -297  -152     0     0  -156   215
 7861   13623      0  -717 -2721 -1378     0     0    76   -72     0  -299  -185     0     0  -146   160
 8046   12106      0  -539 -2580 -1184     0     0    25  -139     0  -253  -153     0     0  -107    98
 8252   10674      0  -511 -2394 -1130     0     0    17   -99     0  -203  -159     0     0  -219    71
 8481    9422      0  -479 -2222 -1133     0     0    -7   -66     0  -320  -181     0     0  -187    10
 8736    8235      0  -406 -2095  -977     0     0    67   -53     0  -289  -252     0     0   -88   -52
 9021    7114      0  -407 -1959 -1067     0     0    21   -27     0  -234  -233     0     0   -82   -20
 9340    6110      0  -262 -1704 -1035     0     0     8    20     0  -147  -276     0     0   -73   -68
 9698    5220      0  -184 -1607  -787     0     0    48   -59     0  -172  -313     0     0  -118    18
10103    4441      0   -18 -1437  -909     0     0    28   -51     0  -123  -246     0     0  -116    22
10562    3719      0    41 -1221  -764     0     0    43  -115     0   -58  -228     0     0   -90    22
11086    3078      0    82 -1027  -707     0     0   163   -52     0   -53  -115     0     0    33   -88
11688    2531      0   150  -925  -722     0     0   223    12     0   -52    43     0     0    16    40
12386    2059      0    45  -726  -691     0     0   206    61     0     9   -19     0     0    22     6
13202    1657      0   -31  -712  -584     0     0   140   -35     0   -20    59     0     0   -73   -32
14169    1316      0  -218  -545  -549     0     0   259   -78     0    -9   -10     0     0  -176  -107
