                                                                                
                                                                                
     X   0.03877, 0.01842, 0.00049, 0.00229,-0.00322, 0.00634,-0.00083, 09652730
     X   0.00343,-0.00010,-0.00062,-0.00007, 0.23092, 0.62242, 0.65950, 09652740
     X  -0.53754, 0.24930,-0.18449,-0.13748,-0.03373,-0.08996, 0.02575/ 09652750
      COMMON/LTABLE/T7(70)                                              09652760
      DATA T7/                                                          09652770
     X   0.00653, 0.00656, 0.00052,-0.00064, 0.00500,-0.00045, 0.00254, 09652780
     X  -0.00036,-0.00017,-0.00013, 0.05907, 0.51744, 0.34632,-0.22076, 09652790
     X   0.19393,-0.06308,-0.04326,-0.01099,-0.03390, 0.01652, 0.00107, 09652800
     X   0.00812, 0.00304, 0.00066, 0.00380,-0.00003, 0.00193,-0.00032, 09652810
     X   0.00028,-0.00015,-0.08046, 0.35865, 0.08854, 0.08856, 0.08872, 09652820
     X   0.06043, 0.03570, 0.02787, 0.01298, 0.01643, 0.00236, 0.01102, 09652830
     X   0.01118, 0.00116, 0.00424, 0.00075, 0.00214,-0.00008, 0.00107, 09652840
     X  -0.00034,-0.18528, 0.14380,-0.12941, 0.39144,-0.05992, 0.17968, 09652850
     X   0.11167, 0.08532, 0.05023, 0.02641, 0.00729, 0.01947, 0.02548, 09652860
     X   0.00091, 0.00792, 0.00130, 0.00317, 0.00007, 0.00234,-0.00071/ 09652870
      COMMON/LTABLE/T8(70)                                              09652880
      DATA T8/                                                          09652890
     X  -0.22502,-0.12052,-0.24475, 0.68294,-0.27456, 0.27942, 0.18867, 09652900
     X   0.16447, 0.07068, 0.04139, 0.00988, 0.03782, 0.04027, 0.00178, 09652910
     X   0.01402, 0.00333, 0.00428, 0.00132, 0.00445,-0.00146, 0.26430, 09652920
     X   0.84979, 0.81625,-0.57489, 0.34578,-0.24854,-0.19494,-0.05295, 09652930
     X  -0.13195, 0.05081, 0.01208, 0.01717,-0.00442,-0.00077, 0.01642, 09652940
     X  -0.00032, 0.01036,-0.00161,-0.00035,-0.00074, 0.00038, 0.00071, 09652950
     X  -0.00010, 0.00012, 0.00003, 0.00001, 0.00019, 0.00006, 0.00004, 09652960
     X  -0.00006, 0.03574, 0.68879, 0.38605,-0.22886, 0.28633,-0.09076, 09652970
     X  -0.06052,-0.02434,-0.05167, 0.03576, 0.00117, 0.02435, 0.00653, 09652980
     X   0.00385, 0.01299, 0.00129, 0.00890,-0.00127, 0.00190,-0.00081/ 09652990
      COMMON/LTABLE/T9(70)                                              09653000
      DATA T9/                                                          09653010
     X   0.00075, 0.00037, 0.00021, 0.00002, 0.00028,-0.00008, 0.00030, 09653020
     X  -0.00004, 0.00015,-0.00005,-0.14279, 0.47882, 0.04231, 0.07821, 09653030
     X   0.18061, 0.07601, 0.04712, 0.03499, 0.01730, 0.03831, 0.00278, 09653040
     X   0.03159, 0.02886, 0.00629, 0.01363, 0.00473, 0.00973, 0.00003, 09653050
     X   0.00584,-0.00090, 0.00260, 0.00025, 0.00129,-0.00022, 0.00134, 09653060
     X  -0.00049, 0.00070,-0.00035, 0.00040,-0.00032,-0.28355, 0.20712, 09653070
     X  -0.24541, 0.35191, 0.02829, 0.23280, 0.14003, 0.11804, 0.06309, 09653080
     X   0.05959, 0.00529, 0.04769, 0.05877, 0.00959, 0.01583, 0.01262, 09653090
     X   0.01124, 0.00352, 0.01150,-0.00048, 0.00570, 0.00111, 0.00289, 09653100
     X  -0.00000, 0.00326,-0.00076, 0.00172,-0.00036, 0.00118,-0.00074/ 09653110
      END                                                               09653120
      BLOCK DATA                                                        09653130
      COMMON/LTABLE/NAME,TIME,PX(4),PY(4)                               09653140
      DOUBLE PRECISION NAME                                             09653150
      DATA NAME/8HGSFC0965/                                             09653160
      DATA TIME/ 1975.0/                                                09653170
      DATA PX/ -0.001483, -0.058256,  0.018548,  0.003390/              09653180
      DATA PY/ -0.002220, -0.038433,  0.021164, -0.012509/              09653190
      COMMON/LTABLE/T0(70)                                              09653200
      DATA T0/                                                          09653210
     X   0.00659,-0.13401, 0.12916,-0.25565,-0.47248,-0.12521,-0.00199, 09653220
     X  -0.04065,-0.01887, 0.00383, 0.00693, 0.00011, 0.00233, 0.00056, 09653230
     X   0.00004, 0.19594,-0.07911, 0.11932,-0.42444,-0.18597,-0.09085, 09653240
     X  -0.02128,-0.00940,-0.00805, 0.00357, 0.00286, 0.00046, 0.00078, 09653250
     X   0.00005, 0.00001, 0.22529,-0.00655, 0.13331,-0.42998,-0.01338, 09653260
     X  -0.05751,-0.02527, 0.00167,-0.00662, 0.00236, 0.00117, 0.00013, 09653270
     X   0.00035,-0.00005, 0.00000, 0.15970, 0.04387, 0.12284,-0.32368, 09653280
     X   0.06108,-0.03043,-0.01720, 0.00237,-0.00472, 0.00106, 0.00036, 09653290
     X   0.00003, 0.00013,-0.00002, 0.00001, 0.07255, 0.06574, 0.08372, 09653300
     X  -0.13653, 0.04698,-0.00922,-0.00546, 0.00057,-0.00149, 0.00020/ 09653310
      COMMON/LTABLE/T1(70)                                              09653320
      DATA T1/                                                          09653330
     X   0.00003, 0.00004, 0.00003, 0.00000,-0.00001,-0.01236, 0.02578, 09653340
