    0.34666662D 01    0.28126553D 02   -0.49690331D 02    0.20005974D 04    0.17394427D 00    0.34977240D 01
    0.34999990D 01    0.27624960D 02   -0.55359141D 02    0.20025842D 04    0.18316287D 00    0.42349837D 01
    0.35333328D 01    0.27123294D 02   -0.61025820D 02    0.20044543D 04    0.19363238D 00    0.52577956D 01
    0.35666666D 01    0.26621499D 02   -0.66690523D 02    0.20061416D 04    0.20498327D 00    0.67250834D 01
    0.35999994D 01    0.26119452D 02   -0.72353471D 02    0.20075875D 04    0.21673254D 00    0.88730397D 01
    0.36333332D 01    0.25616792D 02   -0.78014946D 02    0.20087432D 04    0.22831559D 00    0.11977831D 02
    0.36666660D 01    0.25111871D 02   -0.83675276D 02    0.20095712D 04    0.23911520D 00    0.16025415D 02
    0.36999998D 01    0.24546956D 02   -0.89334827D 02    0.20100470D 04   -0.10000000D 01   -0.10000000D 01
    0.37333326D 01   -0.15587399D 03   -0.85006014D 02    0.20101600D 04   -0.10000000D 01   -0.10000000D 01
    0.37666664D 01   -0.15638041D 03   -0.79346859D 02    0.20099131D 04   -0.10000000D 01   -0.10000000D 01
    0.37999992D 01   -0.15688334D 03   -0.73687323D 02    0.20093233D 04    0.26279914D 00    0.11221174D 02
    0.38333330D 01   -0.15738547D 03   -0.68027052D 02    0.20084203D 04    0.26188903D 00    0.78970087D 01
    0.38666658D 01   -0.15788731D 03   -0.62365728D 02    0.20072458D 04    0.25809562D 00    0.57030688D 01
    0.38999996D 01   -0.15838899D 03   -0.56703083D 02    0.20058519D 04    0.25166399D 00    0.42771733D 01
    0.39333324D 01   -0.15889059D 03   -0.51038914D 02    0.20042987D 04    0.24295288D 00    0.33357418D 01
    0.39666662D 01   -0.15939214D 03   -0.45373083D 02    0.20026525D 04    0.23237575D 00    0.26967950D 01
    0.39999990D 01   -0.15989366D 03   -0.39705526D 02    0.20009828D 04    0.22036386D 00    0.22528970D 01
    0.40333328D 01   -0.16039517D 03   -0.34036256D 02    0.19993597D 04    0.20736745D 00    0.19373982D 01
    0.40666666D 01   -0.16089665D 03   -0.28365356D 02    0.19978515D 04    0.19389439D 00    0.17105842D 01
    0.40999994D 01   -0.16139813D 03   -0.22692981D 02    0.19965213D 04    0.18056724D 00    0.15476660D 01
    0.41333332D 01   -0.16189961D 03   -0.17019344D 02    0.19954250D 04    0.16816346D 00    0.14324172D 01
    0.41666660D 01   -0.16240108D 03   -0.11344715D 02    0.19946083D 04    0.15759536D 00    0.13555031D 01
    0.41999998D 01   -0.16290255D 03   -0.56694026D 01    0.19941057D 04    0.14979255D 00    0.13097579D 01
    0.42333326D 01   -0.16340402D 03    0.62560403D-02    0.19939382D 04    0.14549049D 00    0.12912173D 01
    0.42666664D 01   -0.16390550D 03    0.56819087D 01    0.19941130D 04    0.14501218D 00    0.12983098D 01
    0.42999992D 01   -0.16440698D 03    0.11357204D 02    0.19946228D 04    0.14818864D 00    0.13305557D 01
    0.43333330D 01   -0.16490847D 03    0.17031804D 02    0.19954465D 04    0.15448379D 00    0.13891577D 01
    0.43666658D 01   -0.16540996D 03    0.22705400D 02    0.19965497D 04    0.16322190D 00    0.14776965D 01
    0.43999996D 01   -0.16591148D 03    0.28377725D 02    0.19978865D 04    0.17376105D 00    0.16028552D 01
    0.44333324D 01   -0.16641301D 03    0.34048567D 02    0.19994010D 04    0.18554794D 00    0.17774942D 01
    0.44666662D 01   -0.16691456D 03    0.39717772D 02    0.20010300D 04    0.19808683D 00    0.20203519D 01
    0.44999990D 01   -0.16741615D 03    0.45385258D 02    0.20027052D 04    0.21088421D 00    0.23653757D 01
    0.45333328D 01   -0.16791780D 03    0.51051018D 02    0.20043562D 04    0.22341349D 00    0.28701218D 01
    0.45666666D 01   -0.16841953D 03    0.56715114D 02    0.20059130D 04    0.23511751D 00    0.36407658D 01
    0.45999994D 01   -0.16892138D 03    0.62377686D 02    0.20073093D 04    0.24544636D 00    0.48832020D 01
    0.46333332D 01   -0.16942347D 03    0.68038938D 02    0.20084846D 04    0.25391582D 00    0.70353652D 01
    0.46666660D 01   -0.16992603D 03    0.73699138D 02    0.20093869D 04    0.26016726D 00    0.11129218D 02
    0.46999998D 01   -0.17042981D 03    0.79358603D 02    0.20099746D 04    0.26401073D 00    0.19751728D 02
    0.47333326D 01   -0.17093898D 03    0.85017691D 02    0.20102179D 04   -0.10000000D 01   -0.10000000D 01
    0.47666664D 01    0.86816001D 01    0.89323214D 02    0.20101001D 04   -0.10000000D 01   -0.10000000D 01
    0.47999992D 01    0.80842501D 01    0.83663724D 02    0.20096184D 04   -0.10000000D 01   -0.10000000D 01
    0.48333330D 01    0.75774180D 01    0.78003446D 02    0.20087836D 04   -0.10000000D 01   -0.10000000D 01
    0.48666658D 01    0.70740535D 01    0.72342017D 02    0.20076204D 04   -0.10000000D 01   -0.10000000D 01
    0.48999996D 01    0.65716296D 01    0.66679104D 02    0.20061663D 04    0.24412276D 00    0.72647776D 01
    0.49333324D 01    0.60695943D 01    0.61014427D 02    0.20044702D 04    0.23583079D 00    0.50102436D 01
    0.49666662D 01    0.55677564D 01    0.55347761D 02    0.20025910D 04    0.22643149D 00    0.37053665D 01
    0.49999990D 01    0.50660323D 01    0.49678953D 02    0.20005949D 04    0.21590684D 00    0.28886968D 01
    0.50333328D 01    0.45643794D 01    0.44007926D 02    0.19985536D 04    0.20427814D 00    0.23497747D 01
    0.50666666D 01    0.40627735D 01    0.38334680D 02    0.19965410D 04    0.19168893D 00    0.19801264D 01
    0.50999994D 01    0.35612000D 01    0.32659295D 02    0.19946310D 04    0.17848122D 00    0.17270712D 01
    0.51333332D 01    0.30596491D 01    0.26981929D 02    0.19928940D 04    0.16524304D 00    0.15525827D 01
    0.51666660D 01    0.25581144D 01    0.21302809D 02    0.19913946D 04    0.15279571D 00    0.14400669D 01
    0.51999998D 01    0.20565909D 01    0.15622227D 02    0.19901890D 04    0.14208234D 00    0.13735888D 01
    0.52333326D 01    0.15550749D 01    0.99405265D 01    0.19893223D 04    0.13393643D 00    0.13423724D 01
